PLAYER NAME,Changes in the consumer demand,Manufacturer's wholesale price,My expected profit from the decision support tool,Manufacturer's expected profit from the decision support tool,My profit in the previous period,Manufacturer's profit in the previous period,Manufacturer's profit being higher than mine,Manufacturer's profit being lower than mine,Manufacturer's loss (negative profit),My cumulative profit
retailer1,0,3,3,3,0,0,3,3,3,1
retailer2,3,3,3,1,2,0,1,0,0,2
retailer3,1,3,3,2,0,0,2,2,0,1
retailer4,1,3,2,0,2,1,1,0,0,1
retailer5,3,3,1,3,0,0,0,0,0,2
retailer6,2,3,0,0,0,0,0,0,0,2
retailer7,2,3,3,2,2,1,1,1,1,1
retailer8,1,3,3,2,1,0,2,0,0,3
retailer9,1,2,2,1,1,1,1,0,0,2
retailer10,3,2,3,1,2,1,1,1,1,3
retailer11,0,3,3,0,2,0,0,0,0,2
retailer12,1,3,1,2,0,0,2,0,0,3
retailer13,3,3,3,3,2,1,3,0,0,3
retailer14,1,3,0,2,2,1,2,1,0,2
retailer15,0,3,2,1,2,0,1,0,0,1
retailer16,2,3,2,2,2,1,2,2,1,3
retailer17,2,2,1,1,2,0,2,1,0,2
retailer18,3,3,3,2,1,0,0,0,0,2
retailer19,3,3,2,2,1,0,3,0,0,3
retailer20,3,3,2,2,1,1,2,2,0,3
retailer21,0,3,2,0,0,0,0,0,0,0
retailer22,1,2,2,2,1,2,1,1,1,1
