LastMfgAction,LastRetAction,learning_rate,exploration_rounds
"{7: 22, 9: 13, 6: 27, 8: 19, 4: 8, 5: 11}",{2: 100},0.01,500
"{8: 19, 7: 23, 9: 17, 6: 20, 5: 13, 4: 5, 3: 3}",{2: 100},0.01,1000
"{8: 18, 6: 26, 9: 18, 7: 27, 5: 7, 4: 4}",{2: 100},0.01,2000
"{8: 30, 6: 20, 4: 4, 9: 13, 7: 23, 5: 10}",{2: 100},0.01,5000
"{7: 27, 6: 26, 8: 27, 9: 15, 5: 5}",{2: 100},0.01,10000
"{9: 20, 5: 13, 4: 10, 8: 16, 6: 22, 3: 1, 7: 18}",{2: 100},0.05,500
"{8: 25, 9: 14, 7: 28, 5: 11, 6: 14, 4: 6, 3: 2}",{2: 100},0.05,1000
"{6: 23, 8: 27, 9: 19, 4: 2, 7: 19, 5: 10}",{2: 100},0.05,2000
"{7: 62, 8: 33, 6: 3, 9: 2}",{2: 100},0.05,5000
{7: 100},{2: 100},0.05,10000
"{7: 19, 8: 30, 5: 12, 4: 7, 9: 11, 6: 20, 3: 1}",{2: 100},0.1,500
"{6: 20, 7: 27, 8: 29, 9: 12, 4: 5, 5: 7}",{2: 100},0.1,1000
"{7: 32, 8: 26, 9: 26, 6: 15, 5: 1}",{2: 100},0.1,2000
{7: 100},{2: 100},0.1,5000
{7: 100},{2: 100},0.1,10000
